GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
70180,,Apollo 17,ALSEP,,SCB 1/475,93.25,Soil,Unsieved,81.137,2012-03-01 0:00:00,FALSE,,,"Fines, Unsieved"
70181,,Apollo 17,ALSEP,,SCB 1/475,157.1,Soil,<1 mm,71.782,2015-03-01 0:00:00,TRUE,,,"Fines, < 1MM"
70182,,Apollo 17,ALSEP,,SCB 1/475,4.63,Soil,1-2 mm,91.361,2012-03-01 0:00:00,TRUE,,,"Fines, 1-2MM"
70183,,Apollo 17,ALSEP,,SCB 1/475,3.12,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
70184,,Apollo 17,ALSEP,,SCB 1/475,1.68,Soil,4-10 mm,101.73,2007-08-01 0:00:00,FALSE,,,"?, no pictures in db"
70185,,Apollo 17,ALSEP,,SCB 1/475,466.6,Basalt,Ilmenite,99.249,2014-09-01 0:00:00,TRUE,,,"U, fine-grained, vesicular, intergranular"
70215,,Apollo 17,LM,SEP,BSLSS,8110,Basalt,Ilmenite,90.677,2015-01-01 0:00:00,TRUE,TRUE,"70215,287; 70215,263; 70215,84; 70215,238; 70215,93; 70215,286","B, fine-grained, microporphyritic, spherulitic matrix"
70250,,Apollo 17,LM,SEP,SCB 8/22E,24.99,Soil,Unsieved,88.515,2014-09-01 0:00:00,FALSE,,,
70251,,Apollo 17,LM,SEP,SCB 8/22E,31.98,Soil,<1 mm,98.118,2013-12-01 0:00:00,FALSE,,,"Fines, < 1MM"
70252,,Apollo 17,LM,SEP,SCB 8/22E,0.9,Soil,1-2 mm,100,2014-09-01 0:00:00,FALSE,,,"Fines, 1-2MM"
70253,,Apollo 17,LM,SEP,SCB 8/22E,0.87,Soil,2-4 mm,100,2014-09-01 0:00:00,FALSE,,,"Fines, 2-4MM"
70254,,Apollo 17,LM,SEP,SCB 8/22E,1.14,Soil,4-10 mm,100,2014-09-01 0:00:00,FALSE,,,"Fines, 4-10mm"
70255,,Apollo 17,LM,SEP,SCB 8/22E,277.2,Basalt,Ilmenite,97.552,2014-11-01 0:00:00,TRUE,,,"A, fine-grained, olivine porphyritic, spherulitic matrix"
70256,,Apollo 17,LM,SEP,,2.16,Breccia,Unclassified,100,2014-09-01 0:00:00,FALSE,,,
70270,,Apollo 17,LM,SEP,SCB 8/23E,70.46,Soil,Unsieved,98.15,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
70271,,Apollo 17,LM,SEP,SCB 8/23E,116.1,Soil,<1 mm,98.138,2013-12-01 0:00:00,FALSE,,,"Fines, < 1MM"
70272,,Apollo 17,LM,SEP,SCB 8/23E,2.97,Soil,1-2 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 1-2MM"
70273,,Apollo 17,LM,SEP,SCB 8/23E,1.46,Soil,2-4 mm,100,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
70275,,Apollo 17,LM,SEP,SCB 8/23E,171.4,Basalt,Ilmenite,93.954,2014-12-01 0:00:00,TRUE,,,"B2, fine-grained, olivine porphyritic, spherulitic matrix"
70290,,Apollo 17,LM,SEP,SCB 7/45Y,56.36,Soil,Unsieved,97.57,2007-08-01 0:00:00,FALSE,,,
70295,,Apollo 17,LM,SEP,SCB 7/45Y,361.2,Breccia,Regolith,95.949,2013-08-01 0:00:00,TRUE,,,breccia dark matrix
70310,,Apollo 17,,LRV-12,SCB 5/54Y,6.82,Soil,Unsieved,79.03,2007-08-01 0:00:00,FALSE,,,
70311,,Apollo 17,,LRV-12,SCB 5/54Y,106.5,Soil,<1 mm,98.476,2013-12-01 0:00:00,FALSE,,,"Fines, < 1MM"
70312,,Apollo 17,,LRV-12,SCB 5/54Y,4.2,Soil,1-2 mm,96.48,2007-08-01 0:00:00,FALSE,,,"Fines, 1-2MM"
70313,,Apollo 17,,LRV-12,SCB 5/54Y,3.21,Soil,2-4 mm,90.69,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
70315,,Apollo 17,,LRV-12,SCB 5/54Y,148.6,Basalt,Ilmenite,92.882,2014-11-01 0:00:00,TRUE,,,"B1, medium-grained, subophitic to glomeroporphyritic, vuggy"
70320,,Apollo 17,,LRV-12,SCB 5/53Y,78.24,Soil,Unsieved,100,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
70321,,Apollo 17,,LRV-12,SCB 5/53Y,141.6,Soil,<1 mm,98.854,2013-06-01 0:00:00,FALSE,,,"Fines, < 1MM"
70322,,Apollo 17,,LRV-12,SCB 5/53Y,5.42,Soil,1-2 mm,97.47,2007-08-01 0:00:00,FALSE,,,"Fines, 1-2MM"
70323,,Apollo 17,,LRV-12,SCB 5/53Y,4.1,Soil,2-4 mm,89.73,2007-08-01 0:00:00,FALSE,,,"Fines, 2-4MM"
